animal,path,size_kb,gpt-4o-mini_result,gpt-4o_result,gpt-4o-mini_elapsed_time,gpt-4o_elapsed_time
okapi,./data/animals/animals/okapi/4e8b303dc1.jpg,622.17,okapi,okapi,3.378736,3.728902
okapi,./data/animals/animals/okapi/4ceab227d9.jpg,298.54,okapi,okapi,3.187951,3.190391
okapi,./data/animals/animals/okapi/1e06facf31.jpg,23.29,okapi,okapi,1.991297,1.572
okapi,./data/animals/animals/okapi/45f17f3f77.jpg,13.73,okapi,okapi,1.121243,1.105967
okapi,./data/animals/animals/okapi/49f6929ec7.jpg,22.25,okapi,okapi,1.740144,1.354622
okapi,./data/animals/animals/okapi/5d53953817.jpg,133.95,okapi,okapi,1.984124,1.877408
okapi,./data/animals/animals/okapi/26cc8a86a2.jpg,23.25,okapi,okapi,1.597176,1.026927
okapi,./data/animals/animals/okapi/0096f61a76.jpg,11.66,okapi,okapi,1.308134,1.320209
okapi,./data/animals/animals/okapi/3ef9a780fe.jpg,291.37,okapi,okapi,2.552066,1.742594
okapi,./data/animals/animals/okapi/73c93a3239.jpg,133.95,okapi,okapi,2.496845,5.073251
okapi,./data/animals/animals/okapi/112a4bbe3b.jpg,104.34,okapi,okapi,2.751018,2.655169
okapi,./data/animals/animals/okapi/81a1ef135b.jpg,17.64,okapi,okapi,1.849819,1.801533
okapi,./data/animals/animals/okapi/74cfa2b9a7.jpg,24.92,okapi,okapi,3.062646,1.694974
okapi,./data/animals/animals/okapi/0330af6271.jpg,372.87,okapi,okapi,3.466804,2.447572
okapi,./data/animals/animals/okapi/1e625c9453.jpg,449.17,okapi,okapi,2.998226,3.640085
okapi,./data/animals/animals/okapi/419abe0912.jpg,16.97,okapi,okapi,1.049475,1.113969
okapi,./data/animals/animals/okapi/3f202150b1.jpg,6.74,okapi,okapi,2.024609,1.453917
okapi,./data/animals/animals/okapi/2f31bf11d7.jpg,9.73,okapi,okapi,1.618738,1.945581
okapi,./data/animals/animals/okapi/2ee0c1dd20.jpg,14.19,okapi,okapi,0.999488,1.520278
okapi,./data/animals/animals/okapi/8e737aeecb.jpg,28.44,okapi,okapi,2.115836,1.965566
okapi,./data/animals/animals/okapi/07a2557aa0.jpg,17.67,okapi,okapi,2.488291,1.278118
okapi,./data/animals/animals/okapi/3b00fe3313.jpg,330.39,okapi,okapi,2.522429,3.013899
okapi,./data/animals/animals/okapi/1efedee0ea.jpg,213.37,okapi,okapi,2.013999,2.667729
okapi,./data/animals/animals/okapi/82d172706e.jpg,80.64,okapi,okapi,1.501464,1.867532
okapi,./data/animals/animals/okapi/79f7e8cb1d.jpg,48.31,okapi,okapi,2.026097,1.569178
cow,./data/animals/animals/cow/3f5c04a48c.jpg,124.62,cow,cow,3.215932,1.648104
cow,./data/animals/animals/cow/68087b595a.jpg,1663.49,cow,cow,9.640229,3.645659
cow,./data/animals/animals/cow/3ecb859180.jpg,8.78,cow,cow,1.476585,1.076222
cow,./data/animals/animals/cow/17a29c13f5.jpg,452.87,cow,cow,9.079177,4.102519
cow,./data/animals/animals/cow/361e677a43.jpg,93.19,cow,cow,3.51901,2.123409
cow,./data/animals/animals/cow/3df89aa7cd.jpg,30.02,cow,cow,1.567174,2.328488
cow,./data/animals/animals/cow/46beba7077.jpg,11.9,cow,cow,2.025486,1.530123
cow,./data/animals/animals/cow/987aa8b95e.jpg,16.24,cow,cow,1.116022,1.750687
cow,./data/animals/animals/cow/05768d38ec.jpg,86.36,cow,cow,2.224114,5.768496
cow,./data/animals/animals/cow/6496eb14c0.jpg,11.42,cow,cow,8.776497,5.608475
cow,./data/animals/animals/cow/0bc9244dbf.jpg,161.26,cow,cow,3.373031,3.411044
cow,./data/animals/animals/cow/3d64a8f546.jpg,153.86,cow,cow,1.707009,2.499855
cow,./data/animals/animals/cow/1bdb6f9696.jpg,1892.13,cow,cow,4.90888,4.363166
cow,./data/animals/animals/cow/7d42f0e881.jpg,470.15,cow,cow,9.595477,3.110435
cow,./data/animals/animals/cow/8776f48a39.jpg,10.07,cow,cow,1.711323,2.127199
cow,./data/animals/animals/cow/9bf76f7295.jpg,13.32,cow,cow,1.884356,3.710515
cow,./data/animals/animals/cow/408bb4a1d3.jpg,16.49,cow,cow,2.032341,1.13413
cow,./data/animals/animals/cow/928bda9343.jpg,13.44,cow,cow,1.408097,2.025021
cow,./data/animals/animals/cow/8e5ebe9684.jpg,364.16,cow,cow,4.897238,2.49778
cow,./data/animals/animals/cow/32eae3eecf.jpg,17.23,cow,cow,1.997648,1.893615
cow,./data/animals/animals/cow/3846ac7fae.jpg,146.95,cow,cow,2.995839,3.45774
cow,./data/animals/animals/cow/64f159e8ff.jpg,15.43,cow,cow,1.743429,1.502384
cow,./data/animals/animals/cow/128fc39904.jpg,10.78,cow,cow,1.567808,1.764876
cow,./data/animals/animals/cow/30e10509da.jpg,11.11,cow,cow,1.16423,1.748226
cow,./data/animals/animals/cow/8dc75d04ac.jpg,219.1,cow,cow,3.491642,4.17374
dog,./data/animals/animals/dog/0ff0ba075e.jpg,6.39,dog,dog,1.307563,1.725214
dog,./data/animals/animals/dog/82a669ccf6.jpg,187.97,dog,dog,3.258692,2.484025
dog,./data/animals/animals/dog/0b6670809d.jpg,9.59,dog,dog,1.26666,1.808134
dog,./data/animals/animals/dog/6afa462776.jpg,5.68,dog,dog,1.58517,1.590869
dog,./data/animals/animals/dog/9a8262798f.jpg,12.11,dog,dog,0.990654,1.516568
dog,./data/animals/animals/dog/4fdbeb98ad.jpg,88.6,dog,dog,1.816226,2.618456
dog,./data/animals/animals/dog/5c641a8bde.jpg,78.14,dog,dog,2.047465,1.611582
dog,./data/animals/animals/dog/4aacd195b5.jpg,590.05,dog,dog,95.037037,4.18627
dog,./data/animals/animals/dog/26c7056eda.jpg,466.67,dog,dog,3.704714,2.502716
dog,./data/animals/animals/dog/9aeb8c737b.jpg,156.95,dog,dog,1.926507,1.985214
dog,./data/animals/animals/dog/1d97824ca1.jpg,83.1,dog,dog,2.979092,1.885856
dog,./data/animals/animals/dog/76bad2abea.jpg,40.49,dog,dog,1.623222,2.175236
dog,./data/animals/animals/dog/86ca756626.jpg,193.11,dog,dog,3.562788,2.756047
dog,./data/animals/animals/dog/3fb7d7c4ef.jpg,87.25,dog,dog,2.495521,2.393469
dog,./data/animals/animals/dog/2a74dd288c.jpg,52.62,dog,dog,1.835303,2.384869
dog,./data/animals/animals/dog/7bee213463.jpg,264.25,dog,dog,3.160826,3.372943
dog,./data/animals/animals/dog/7f45bd0030.jpg,129.64,dog,dog,2.604096,2.163364
dog,./data/animals/animals/dog/084a6888d7.jpg,10.47,dog,dog,1.360644,1.994113
dog,./data/animals/animals/dog/6be2081479.jpg,35.56,dog,dog,1.81852,1.474253
dog,./data/animals/animals/dog/01c6b7230c.jpg,8.55,dog,dog,1.987747,1.899705
dog,./data/animals/animals/dog/2f0043ea55.jpg,9.37,dog,dog,3.024937,1.653227
dog,./data/animals/animals/dog/8c6a936c9a.jpg,7.78,dog,dog,1.648891,1.463062
dog,./data/animals/animals/dog/23c5c07d8d.jpg,108.41,dog,dog,2.98773,2.276733
dog,./data/animals/animals/dog/41f5881bb6.jpg,13.49,dog,dog,1.566828,1.954126
dog,./data/animals/animals/dog/88dcdf1906.jpg,11.84,dog,dog,1.682886,1.29639
lion,./data/animals/animals/lion/7a9a41f459.jpg,10.67,lion,lion,2.047368,1.865796
lion,./data/animals/animals/lion/8b42d2c018.jpg,16.62,lion,lion,1.542518,1.800683
lion,./data/animals/animals/lion/4d29f849f8.jpg,700.26,lion,lion,3.675384,4.163632
lion,./data/animals/animals/lion/16f1e28b64.jpg,9.97,lion,lion,1.087415,1.202619
lion,./data/animals/animals/lion/61e6f6109c.jpg,93.12,lion,lion,2.717861,1.62569
lion,./data/animals/animals/lion/35bb50c8cd.jpg,13.13,lion,lion,1.508825,1.453129
lion,./data/animals/animals/lion/41ee7cdad6.jpg,19.8,lion,lion,1.812591,2.203847
lion,./data/animals/animals/lion/4c6398221e.jpg,76.64,lion,lion,2.209188,1.742092
lion,./data/animals/animals/lion/4dbdd0fea8.jpg,407.09,lion,lion,3.942305,2.805978
lion,./data/animals/animals/lion/85b1857ed6.jpg,14.75,lion,lion,1.740525,1.884563
lion,./data/animals/animals/lion/51d9525bd9.jpg,10.73,lion,lion,1.166471,1.193069
lion,./data/animals/animals/lion/4c0f082b74.jpg,831.19,lion,lion,3.185783,3.115985
lion,./data/animals/animals/lion/7dcef33a0b.jpg,166.57,lion,lion,3.364758,3.460967
