animal,path,size_kb
okapi,./data/animals/animals/okapi/4e8b303dc1.jpg,622.17
okapi,./data/animals/animals/okapi/4ceab227d9.jpg,298.54
okapi,./data/animals/animals/okapi/1e06facf31.jpg,23.29
okapi,./data/animals/animals/okapi/45f17f3f77.jpg,13.73
okapi,./data/animals/animals/okapi/49f6929ec7.jpg,22.25
okapi,./data/animals/animals/okapi/5d53953817.jpg,133.95
okapi,./data/animals/animals/okapi/26cc8a86a2.jpg,23.25
okapi,./data/animals/animals/okapi/0096f61a76.jpg,11.66
okapi,./data/animals/animals/okapi/3ef9a780fe.jpg,291.37
okapi,./data/animals/animals/okapi/73c93a3239.jpg,133.95
okapi,./data/animals/animals/okapi/112a4bbe3b.jpg,104.34
okapi,./data/animals/animals/okapi/81a1ef135b.jpg,17.64
okapi,./data/animals/animals/okapi/74cfa2b9a7.jpg,24.92
okapi,./data/animals/animals/okapi/0330af6271.jpg,372.87
okapi,./data/animals/animals/okapi/1e625c9453.jpg,449.17
okapi,./data/animals/animals/okapi/419abe0912.jpg,16.97
okapi,./data/animals/animals/okapi/3f202150b1.jpg,6.74
okapi,./data/animals/animals/okapi/2f31bf11d7.jpg,9.73
okapi,./data/animals/animals/okapi/2ee0c1dd20.jpg,14.19
okapi,./data/animals/animals/okapi/8e737aeecb.jpg,28.44
okapi,./data/animals/animals/okapi/07a2557aa0.jpg,17.67
okapi,./data/animals/animals/okapi/3b00fe3313.jpg,330.39
okapi,./data/animals/animals/okapi/1efedee0ea.jpg,213.37
okapi,./data/animals/animals/okapi/82d172706e.jpg,80.64
okapi,./data/animals/animals/okapi/79f7e8cb1d.jpg,48.31
cow,./data/animals/animals/cow/3f5c04a48c.jpg,124.62
cow,./data/animals/animals/cow/68087b595a.jpg,1663.49
cow,./data/animals/animals/cow/3ecb859180.jpg,8.78
cow,./data/animals/animals/cow/17a29c13f5.jpg,452.87
cow,./data/animals/animals/cow/361e677a43.jpg,93.19
cow,./data/animals/animals/cow/3df89aa7cd.jpg,30.02
cow,./data/animals/animals/cow/46beba7077.jpg,11.9
cow,./data/animals/animals/cow/987aa8b95e.jpg,16.24
cow,./data/animals/animals/cow/05768d38ec.jpg,86.36
cow,./data/animals/animals/cow/6496eb14c0.jpg,11.42
cow,./data/animals/animals/cow/0bc9244dbf.jpg,161.26
cow,./data/animals/animals/cow/3d64a8f546.jpg,153.86
cow,./data/animals/animals/cow/1bdb6f9696.jpg,1892.13
cow,./data/animals/animals/cow/7d42f0e881.jpg,470.15
cow,./data/animals/animals/cow/8776f48a39.jpg,10.07
cow,./data/animals/animals/cow/9bf76f7295.jpg,13.32
cow,./data/animals/animals/cow/408bb4a1d3.jpg,16.49
cow,./data/animals/animals/cow/928bda9343.jpg,13.44
cow,./data/animals/animals/cow/8e5ebe9684.jpg,364.16
cow,./data/animals/animals/cow/32eae3eecf.jpg,17.23
cow,./data/animals/animals/cow/3846ac7fae.jpg,146.95
cow,./data/animals/animals/cow/64f159e8ff.jpg,15.43
cow,./data/animals/animals/cow/128fc39904.jpg,10.78
cow,./data/animals/animals/cow/30e10509da.jpg,11.11
cow,./data/animals/animals/cow/8dc75d04ac.jpg,219.1
dog,./data/animals/animals/dog/0ff0ba075e.jpg,6.39
dog,./data/animals/animals/dog/82a669ccf6.jpg,187.97
dog,./data/animals/animals/dog/0b6670809d.jpg,9.59
dog,./data/animals/animals/dog/6afa462776.jpg,5.68
dog,./data/animals/animals/dog/9a8262798f.jpg,12.11
dog,./data/animals/animals/dog/4fdbeb98ad.jpg,88.6
dog,./data/animals/animals/dog/5c641a8bde.jpg,78.14
dog,./data/animals/animals/dog/4aacd195b5.jpg,590.05
dog,./data/animals/animals/dog/26c7056eda.jpg,466.67
dog,./data/animals/animals/dog/9aeb8c737b.jpg,156.95
dog,./data/animals/animals/dog/1d97824ca1.jpg,83.1
dog,./data/animals/animals/dog/76bad2abea.jpg,40.49
dog,./data/animals/animals/dog/86ca756626.jpg,193.11
dog,./data/animals/animals/dog/3fb7d7c4ef.jpg,87.25
dog,./data/animals/animals/dog/2a74dd288c.jpg,52.62
dog,./data/animals/animals/dog/7bee213463.jpg,264.25
dog,./data/animals/animals/dog/7f45bd0030.jpg,129.64
dog,./data/animals/animals/dog/084a6888d7.jpg,10.47
dog,./data/animals/animals/dog/6be2081479.jpg,35.56
dog,./data/animals/animals/dog/01c6b7230c.jpg,8.55
dog,./data/animals/animals/dog/2f0043ea55.jpg,9.37
dog,./data/animals/animals/dog/8c6a936c9a.jpg,7.78
dog,./data/animals/animals/dog/23c5c07d8d.jpg,108.41
dog,./data/animals/animals/dog/41f5881bb6.jpg,13.49
dog,./data/animals/animals/dog/88dcdf1906.jpg,11.84
lion,./data/animals/animals/lion/7a9a41f459.jpg,10.67
lion,./data/animals/animals/lion/8b42d2c018.jpg,16.62
lion,./data/animals/animals/lion/4d29f849f8.jpg,700.26
lion,./data/animals/animals/lion/16f1e28b64.jpg,9.97
lion,./data/animals/animals/lion/61e6f6109c.jpg,93.12
lion,./data/animals/animals/lion/35bb50c8cd.jpg,13.13
lion,./data/animals/animals/lion/41ee7cdad6.jpg,19.8
lion,./data/animals/animals/lion/4c6398221e.jpg,76.64
lion,./data/animals/animals/lion/4dbdd0fea8.jpg,407.09
lion,./data/animals/animals/lion/85b1857ed6.jpg,14.75
lion,./data/animals/animals/lion/51d9525bd9.jpg,10.73
lion,./data/animals/animals/lion/4c0f082b74.jpg,831.19
lion,./data/animals/animals/lion/7dcef33a0b.jpg,166.57
lion,./data/animals/animals/lion/9acdf9a504.jpg,318.93
lion,./data/animals/animals/lion/8ec580597e.jpg,13.95
lion,./data/animals/animals/lion/1e1b3ea01c.jpg,12.86
lion,./data/animals/animals/lion/5fb837c61b.jpg,219.35
lion,./data/animals/animals/lion/33cf8a44c3.jpg,13.4
lion,./data/animals/animals/lion/30ec7a1f53.jpg,164.5
lion,./data/animals/animals/lion/5f8df573bf.jpg,8.18
lion,./data/animals/animals/lion/96a73103e3.jpg,9.45
lion,./data/animals/animals/lion/182efd137c.jpg,11.63
